2800元/月 付1押2, 1室1厅1卫,54平方米 朝南 高层(共17层),精装修,公寓,敏捷华美国际 (番禺 汉溪长隆)
4200元/月 付1押2, 4室2厅2卫,148平方米 朝北 高层(共33层),豪华装修,普通住宅,祈福新邨活力花园 (番禺 祈福)
6000元/月 付1押2, 3室2厅3卫,158平方米 朝南 低层(共18层),豪华装修,普通住宅,星河湾三期(荟心园) (番禺 星河湾)
3000元/月 付1押2, 1室1厅1卫,56平方米 朝南 中层(共17层),精装修,普通住宅,星河湾二期 (番禺 星河湾)
2300元/月 付1押2, 1室1厅1卫,52平方米 朝南 中层(共30层),精装修,普通住宅,祈福新邨倚湖湾 (番禺 祈福)
4300元/月 付1押2, 3室2厅2卫,95平方米 南北 高层(共35层),精装修,普通住宅,万科欧泊 (番禺 南村)
2400元/月 付1押2, 1室1厅1卫,48平方米 朝南 高层(共26层),毛坯,公寓,敏捷华美国际 (番禺 汉溪长隆)
2700元/月 付1押2, 2室2厅1卫,50平方米 朝南 中层(共20层),豪华装修,公寓,敏捷伊顿公馆 (番禺 祈福)
2100元/月 付2押1, 3室2厅2卫,110平方米 朝北 高层(共7层),精装修,普通住宅,东华花园 (番禺 石基)
3400元/月 付1押2, 1室2厅1卫,54平方米 朝南 高层(共17层),精装修,公寓,敏捷华美国际 (番禺 汉溪长隆)
2800元/月 付1押2, 1室0厅1卫,60平方米 朝南 中层(共8层),精装修,公寓,We公馆 (番禺 大石)
3800元/月 付1押2, 4室2厅1卫,130平方米 朝南 中层(共7层),精装修,普通住宅,洛涛北区 (番禺 洛溪)
3600元/月 付1押2, 3室2厅1卫,100平方米 朝南 高层(共17层),精装修,普通住宅,星誉花园 (番禺 祈福)
1500元/月 付1押2, 2室1厅1卫,70平方米 朝南 高层(共7层),简单装修,普通住宅,侨宫苑 (番禺 市桥西)
7000元/月 付1押2, 3室2厅2卫,148平方米 南北 中层(共18层),豪华装修,普通住宅,星河湾三期(荟心园) (番禺 星河湾)
3000元/月 付1押2, 2室2厅1卫,58平方米 朝南 高层(共35层),精装修,普通住宅,祈福缤纷汇 (番禺 祈福)
2600元/月 付1押2, 2室2厅2卫,56平方米 朝南 中层(共31层),豪华装修,普通住宅,祈福缤纷汇 (番禺 祈福)
3300元/月 付1押2, 2室2厅1卫,54平方米 朝南 中层(共17层),豪华装修,公寓,敏捷华美国际 (番禺 汉溪长隆)
6000元/月 付1押2, 3室2厅2卫,160平方米 南北 中层(共16层),豪华装修,普通住宅,星河湾三期(悦心园) (番禺 星河湾)
3300元/月 付1押2, 2室2厅1卫,58平方米 朝南 高层(共22层),毛坯,公寓,尚东数字居 (番禺 星河湾)
2000元/月 付1押2, 1室1厅1卫,50平方米 朝南 高层(共26层),精装修,公寓,敏捷华美国际 (番禺 汉溪长隆)
4500元/月 付1押2, 3室2厅2卫,95平方米 朝南 中层(共33层),豪华装修,普通住宅,祈福缤纷汇 (番禺 祈福)
5700元/月 付2押1, 3室2厅2卫,129平方米 东北 中层(共26层),精装修,普通住宅,雅居乐剑桥郡佰利山 (番禺 广州雅居乐)
2100元/月 付1押2, 2室2厅1卫,78平方米 朝南 中层(共21层),精装修,普通住宅,招商金山谷e度 (番禺 祈福)
3700元/月 付1押2, 3室2厅2卫,103平方米 朝南 中层(共30层),精装修,普通住宅,招商金山谷领仕 (番禺 祈福)
2800元/月 付1押2, 1室1厅1卫,40平方米 南北 低层(共15层),精装修,普通住宅,广州奥林匹克花园 (番禺 洛溪)
2800元/月 付1押2, 1室1厅1卫,54平方米 朝南 高层(共17层),精装修,公寓,敏捷华美国际 (番禺 汉溪长隆)
2400元/月 付1押2, 1室1厅1卫,48平方米 朝南 高层(共26层),毛坯,公寓,敏捷华美国际 (番禺 汉溪长隆)
4800元/月 付1押2, 3室2厅2卫,106平方米 南北 高层(共18层),精装修,普通住宅,雅居乐鸿禧华庭 (番禺 市桥)
3000元/月 付1押2, 2室1厅1卫,36平方米 南北 高层(共22层),精装修,普通住宅,招商城市主场 (番禺 汉溪长隆)
3500元/月 付1押2, 3室2厅1卫,83平方米 东南 低层(共11层),精装修,普通住宅,温馨里 (番禺 祈福)
7500元/月 付1押2, 3室2厅2卫,172平方米 南北 中层(共37层),精装修,普通住宅,珊瑚天峰 (番禺 洛溪)
2800元/月 付1押1, 3室2厅1卫,83平方米 朝南 中层(共8层),简单装修,普通住宅,东华花园 (番禺 石基)
2900元/月 付1押2, 3室2厅1卫,95平方米 东南 中层(共16层),精装修,普通住宅,庄士映蝶蓝湾 (番禺 石楼)
